analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
.ALPHA.-HYDROXYALPRAZOLAM,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
.ALPHA.-PYRROLIDINOISOHEXANOPHENONE,0.0,5.0,543.0,399966.0,5.0,66.90081124027766,3.6946177601994172,1211.41585817681,1.477721424501424,0.0,0.0,0.0,0.0,0.0,,,,,5,0,0,,,,,,,,0.006778789255806289,0.024730721023484822,False,False,False,False,False,uncertain,False,,False,,
.ALPHA.-PYRROLIDINOPENTIOPHENONE,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,0.0,0.0,0.0,0.0,,,,,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
.ALPHA.-PYRROLIDINOVALEROTHIOPHENONE,0.0,4.0,543.0,399967.0,4.0,81.76786261882857,4.396803636337028,1520.6463399902284,1.491329825634929,0.0,0.0,0.0,0.0,0.0,,,,,4,0,0,,,,,,,,0.005423031404645031,0.01978457681878786,False,False,False,False,False,uncertain,False,,False,,
.ALPHA.-TOCOPHEROL,0.0,15.0,543.0,399956.0,15.0,23.738404012226606,1.418537873202505,397.2483468315911,1.437483410585008,0.0,0.0,0.0,0.0,0.0,,,,,15,0,0,,,,,,,,0.020336367767418866,0.07419216307045447,False,False,False,False,False,uncertain,False,,False,,
.ALPHA.-TOCOPHEROL ACETATE,0.0,15.0,543.0,399956.0,15.0,23.738404012226606,1.418537873202505,397.2483468315911,1.437483410585008,0.0,0.0,0.0,0.0,0.0,,,,,15,0,0,,,,,,,,0.020336367767418866,0.07419216307045447,False,False,False,False,False,uncertain,False,,False,,
".ALPHA.-TOCOPHEROL ACETATE, D-",0.0,47.0,543.0,399924.0,47.0,7.745596281411902,0.4768494572521724,125.81384091393677,1.4222851537064765,0.0,0.0,0.0,0.0,0.0,,,,,47,0,0,,,,,,,,0.06372061900457912,0.23246877762075735,False,False,False,False,False,uncertain,False,,False,,
".ALPHA.-TOCOPHEROL ACETATE, DL-",0.0,18.0,543.0,399953.0,18.0,19.888783908103136,1.1970138589032668,330.4587682097911,1.4338397681566992,0.0,0.0,0.0,0.0,0.0,,,,,18,0,0,,,,,,,,0.02440364132090264,0.08903059568454537,False,False,False,False,False,uncertain,False,,False,,
".ALPHA.-TOCOPHEROL ACETATE, DL-\TOCOPHEROL",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
".ALPHA.-TOCOPHEROL SUCCINATE, D-",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
