analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,0,C,0.0017777420370211818,0.0017777420370211818,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,1,C,0.0038007096355783684,0.0038007096355783684,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,2,C,-0.0006882614989055151,0.0006882614989055151,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,3,C,0.0029985929154801457,0.0029985929154801457,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,4,C,0.0008274193133221142,0.0008274193133221142,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,5,C,-0.0034552119509837736,0.0034552119509837736,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,6,C,-0.0036343124454019916,0.0036343124454019916,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,7,C,0.0035072290375758645,0.0035072290375758645,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,8,C,0.008216887905241164,0.008216887905241164,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,9,C,0.006872330368614236,0.006872330368614236,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,10,C,0.01319379940975528,0.01319379940975528,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,11,C,0.0015742779126585566,0.0015742779126585566,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,12,C,0.006372701721619271,0.006372701721619271,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,13,C,-0.0018144349123189706,0.0018144349123189706,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,14,C,0.0013685327061489113,0.0013685327061489113,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,15,C,0.009716105215438541,0.009716105215438541,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,16,O,0.007580306356864503,0.007580306356864503,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,17,C,0.01187879383086121,0.01187879383086121,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,18,C,0.012357735691544424,0.012357735691544424,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,19,C,0.00010772893245304763,0.00010772893245304763,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,20,O,0.0075854462752694436,0.0075854462752694436,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,21,C,0.0014724995354637375,0.0014724995354637375,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,22,C,0.009033638002689302,0.009033638002689302,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,23,O,0.0077294116919352715,0.0077294116919352715,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,24,C,0.019586889536896846,0.019586889536896846,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,25,O,0.010919256634090678,0.010919256634090678,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability,26,O,0.00344932453309419,0.00344932453309419,output_interpretation_selected/heatmaps_svg/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/METHYLPREDNISOLONE__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,0,C,0.003609181044440885,0.003609181044440885,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,1,O,0.004296336674886855,0.004296336674886855,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,2,N,0.012451484594607183,0.012451484594607183,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,3,C,0.004770485530095532,0.004770485530095532,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,4,C,-0.005597388980727298,0.005597388980727298,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,5,C,-0.007280157020590581,0.007280157020590581,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,6,C,-0.0009413644997334809,0.0009413644997334809,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
