bit,bit_shap,center_atom,radius,n_atoms_in_environment,environment_atoms,per_environment_value,per_atom_value,analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason
80,0.008861005468120898,24,0,1,24,0.008861005468120898,0.008861005468120898,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
84,-0.0011484031705774277,14,1,3,"13,14,15",-0.0011484031705774277,-0.00038280105685914255,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
222,0.01209484103950254,25,1,2,"24,25",0.01209484103950254,0.00604742051975127,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
240,0.0018951175197379378,12,1,5,"11,12,13,18,19",0.0018951175197379378,0.0003790235039475876,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
314,0.006540916434648664,16,1,2,"15,16",0.006540916434648664,0.003270458217324332,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
452,-0.0005984384422056089,13,2,10,"0,1,2,11,12,13,14,15,18,19",-0.0005984384422056089,-5.984384422056089e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
519,0.004420405005133093,4,1,4,"3,4,5,8",0.004420405005133093,0.0011051012512832733,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
529,-0.001325213412927845,5,2,6,"3,4,5,6,7,8",-0.001325213412927845,-0.00022086890215464083,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
547,0.01877808397366049,17,1,3,"15,17,18",0.01877808397366049,0.006259361324553497,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
622,-0.003100064818045752,3,1,4,"2,3,4,11",-0.003100064818045752,-0.000775016204511438,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
650,0.004479033223545255,16,0,1,16,0.0022395166117726273,0.0022395166117726273,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
650,0.004479033223545255,23,0,1,23,0.0022395166117726273,0.0022395166117726273,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
664,0.0009378816893426434,12,2,10,"1,3,10,11,12,13,14,17,18,19",0.0009378816893426434,9.378816893426434e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
679,0.016046254080969487,9,1,3,"8,9,10",0.016046254080969487,0.0053487513603231625,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
781,0.00038249010894248907,13,1,4,"1,12,13,14",0.00038249010894248907,9.562252723562227e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
787,0.011711632278944163,18,1,3,"12,17,18",0.011711632278944163,0.003903877426314721,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
807,0.003522046271127629,20,0,1,20,0.0008805115677819073,0.0008805115677819073,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
807,0.003522046271127629,22,0,1,22,0.0008805115677819073,0.0008805115677819073,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
807,0.003522046271127629,25,0,1,25,0.0008805115677819073,0.0008805115677819073,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
807,0.003522046271127629,26,0,1,26,0.0008805115677819073,0.0008805115677819073,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
849,1.5389553628702667e-05,10,1,4,"9,10,11,20",1.5389553628702667e-05,3.847388407175667e-06,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
926,-0.0039563109439861525,2,0,1,2,-0.0009890777359965381,-0.0009890777359965381,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
926,-0.0039563109439861525,5,0,1,5,-0.0009890777359965381,-0.0009890777359965381,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
926,-0.0039563109439861525,6,0,1,6,-0.0009890777359965381,-0.0009890777359965381,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
926,-0.0039563109439861525,9,0,1,9,-0.0009890777359965381,-0.0009890777359965381,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
