bit,mean_abs_shap,mean_shap,all_freq,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs
378,0.013349056726298776,0.0003253094880198472,0.3679245412349701,0.2542372941970825,0.5106382966041565,-0.256401002407074,39,15,24,CEFTRIAXONE | ONDANSETRON | APREPITANT | BENDAMUSTINE | BORTEZOMIB | CEFAZOLIN | CYTARABINE | DEXCHLORPHENIRAMINE | ENCORAFENIB | FAMOTIDINE | FLUDARABINE | LEVOLEUCOVORIN | MIDAZOLAM | NEMTABRUTINIB | ZOLEDRONIC ACID,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | AMBRISENTAN | AZACITIDINE | CANDESARTAN | FLUCONAZOLE | LETROZOLE | LORAZEPAM | MACITENTAN | MIRTAZAPINE | OSIMERTINIB | RIOCIGUAT
875,0.011802243615192616,-0.00025402727033221195,0.2924528419971466,0.18644067645072937,0.42553192377090454,-0.23909124732017517,31,11,20,ALBUTEROL | APREPITANT | BENDAMUSTINE | ENCORAFENIB | ETOPOSIDE | LABETALOL | MIDAZOLAM | NAPROXEN | NEMTABRUTINIB | VINBLASTINE | VINCRISTINE,CABOZANTINIB | CLOZAPINE | ABEMACICLIB | ALPRAZOLAM | APREMILAST | OLANZAPINE | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | FENFLURAMINE | FLUCONAZOLE | HYDROCHLOROTHIAZIDE | LORAZEPAM | MESALAMINE | NINTEDANIB | OSIMERTINIB | RISPERIDONE | SPARSENTAN | TAFAMIDIS | VENETOCLAX
1160,0.010123763300664076,0.0007881148915700357,0.08490566164255142,0.0,0.19148936867713928,-0.19148936867713928,9,0,9,,RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | IBRUTINIB | ADAPALENE | CANDESARTAN | MACITENTAN | TAFAMIDIS | VENETOCLAX
1452,0.009899594505875995,0.0006452586099841244,0.21698112785816193,0.11864406615495682,0.3404255211353302,-0.22178146243095398,23,7,16,ONDANSETRON | BORTEZOMIB | DEXCHLORPHENIRAMINE | ENCORAFENIB | FLUDARABINE | MIDAZOLAM | NEMTABRUTINIB,CABOZANTINIB | PALBOCICLIB | PIMAVANSERIN | ABEMACICLIB | APREMILAST | AZATHIOPRINE | IBRUTINIB | TREPROSTINIL | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | MACITENTAN | MIRTAZAPINE | OSIMERTINIB | RIOCIGUAT | VENETOCLAX
80,0.009488104861194235,1.4773609158403613e-07,0.6603773832321167,0.7627118825912476,0.5319148898124695,0.23079699277877808,70,45,25,CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | ONDANSETRON | ROCURONIUM | ALBUTEROL | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYCLOPHOSPHAMIDE | CYTARABINE | DEXAMETHASONE ACETATE | DEXCHLORPHENIRAMINE,PIMAVANSERIN | RELUGOLIX | ABEMACICLIB | APREMILAST | QUETIAPINE | TREPROSTINIL | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CHOLECALCIFEROL | FENFLURAMINE | FLUCONAZOLE | LACOSAMIDE | LEVONORGESTREL | LISDEXAMFETAMINE | MACITENTAN | METHAMPHETAMINE | NINTEDANIB | OSIMERTINIB | RIOCIGUAT
352,0.007695771011451182,0.000546395208887719,0.14150942862033844,0.06779661029577255,0.23404255509376526,-0.1662459373474121,15,4,11,PACLITAXEL | DOXORUBICIN | ENCORAFENIB | MIDAZOLAM,CLOZAPINE | POMALIDOMIDE | ALPRAZOLAM | APREMILAST | OLANZAPINE | QUETIAPINE | CANDESARTAN | COCAINE | LORAZEPAM | OSIMERTINIB | SPARSENTAN
1380,0.006586591831955026,-0.0003876134396840802,0.8867924809455872,0.8135592937469482,0.978723406791687,-0.16516411304473877,94,48,46,ACETAMINOPHEN | AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | ALBUTEROL | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYTARABINE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CHOLECALCIFEROL
935,0.006556563383354968,0.0002761494113786068,0.4811320900917053,0.4067796468734741,0.5744680762290955,-0.16768842935562134,51,24,27,AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | ONDANSETRON | ROCURONIUM | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | CEFAZOLIN | CYTARABINE | DROPERIDOL | ENCORAFENIB | FLUDARABINE | HYDROMORPHONE | IFOSFAMIDE | LEVOLEUCOVORIN | METAMIZOLE | MIDAZOLAM | MORPHINE | REMIFENTANIL,CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CLOPIDOGREL | COCAINE | FLUCONAZOLE | LETROZOLE | MIRTAZAPINE
1750,0.006549147861547427,0.000617188488582489,0.6886792182922363,0.5932203531265259,0.8085106611251831,-0.21529030799865723,73,35,38,ACETAMINOPHEN | AMOXICILLIN | CEFUROXIME | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | ALBUTEROL | APREPITANT | BENDAMUSTINE | BORTEZOMIB | CHLORHEXIDINE GLUCONATE | CYTARABINE | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB | EPHEDRINE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | CANDESARTAN | CLOPIDOGREL | COCAINE | FENFLURAMINE
322,0.006089007923946009,0.000796890644267936,0.09433962404727936,0.033898305147886276,0.1702127605676651,-0.13631445169448853,10,2,8,NAPROXEN | NEMTABRUTINIB,CABOZANTINIB | PIMAVANSERIN | IBRUTINIB | ADAPALENE | ARIPIPRAZOLE | ERGOCALCIFEROL | VENETOCLAX | VENLAFAXINE
