row_index,analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight,final_rf_prob_positive,final_rf_pred_label_0_5,shap_sum,shap_expected_value,shap_expected_plus_sum,selection_reason,_name_norm
44,METHYLPREDNISOLONE,19.0,1620.0,524.0,398351.0,1639.0,8.916064697012533,5.626720535646446,14.128338021710546,0.2348611721708464,2.0,155.0,541.0,399816.0,157.0,9.535889332776817,2.357670019803812,38.56908922926095,0.7129533946123301,1639,19,26,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,VHRSUDSXCMQTMA-PJHHCJLFSA-N,True,,1.0,METHYLPREDNISOLONE,2.222087118053301,8.106730351498324,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.827511305466735,1,0.30386500586813847,0.5236462995985947,0.8275113054667331,additional_high_probability,METHYLPREDNISOLONE
3,CEFUROXIME,8.0,99.0,535.0,399872.0,107.0,60.39792315680166,29.24072029150212,124.75442072865302,0.3700981893765097,6.0,26.0,537.0,399945.0,32.0,171.87150837988827,70.45796481987414,419.25445147750975,0.4549647270557642,107,8,10,23670318.0,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-].[Na+],URDOHUPGIOGTKV-JTBFTWTJSA-M,True,,2.0,CEFUROXIME | CEFUROXIME SODIUM,0.1450660900742545,0.5292374299025752,True,False,False,False,False,positive_high,True,True,True,1,1.0,0.8269389109658991,1,0.3032926113673063,0.5236462995985947,0.8269389109659009,additional_high_probability,CEFUROXIME
97,PSEUDOEPHEDRINE,0.0,501.0,543.0,399470.0,501.0,0.7327979263680898,0.0457116940493497,11.747383509997285,1.4155693016107926,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,501,0,0,7028.0,CC(C(C1=CC=CC=C1)O)NC,KWGRBVOPPLSCSI-WCBMZHEXSA-N,True,,1.0,PSEUDOEPHEDRINE,0.6792346834317902,2.4780182465531797,False,False,False,False,True,negative_expanded,True,True,True,0,0.6,0.5659875605285,1,0.042341260929907025,0.5236462995985947,0.5659875605285016,high_prob_negative,PSEUDOEPHEDRINE
92,MESALAMINE,0.0,730.0,543.0,399241.0,730.0,0.5027891697473785,0.0313774000575786,8.05665698086415,1.4153484929677715,0.0,236.0,543.0,399735.0,236.0,1.5549342508329265,0.0968464104284761,24.96551512561205,1.4163582731310915,730,0,0,4075.0,C1=CC(=C(C=C1N)C(=O)O)O,KBOPZPXVLCULAV-UHFFFAOYSA-N,True,,1.0,MESALAMINE,0.9897032313477182,3.610685269428784,False,False,False,False,True,negative_expanded,True,True,True,0,0.6,0.5634329280443543,1,0.03978662844576274,0.5236462995985947,0.5634329280443574,high_prob_negative,MESALAMINE
103,TROFINETIDE,0.0,886.0,543.0,399085.0,886.0,0.4141499991438582,0.0258500356517727,6.635202523563856,1.4152633902269045,0.0,881.0,543.0,399090.0,881.0,0.41650433812483,0.0259968714477308,6.672951552097034,1.4152656506992685,886,0,0,11318905.0,CC1(CCCN1C(=O)CN)C(=O)NC(CCC(=O)O)C(=O)O,BUSXWGRAOZQTEY-SDBXPKJASA-N,True,,1.0,DAYBUE,1.2012014561288744,4.38228376536151,False,False,False,False,True,negative_expanded,True,True,True,0,0.6,0.4908094365781885,0,-0.03283686302040152,0.5236462995985947,0.49080943657819315,high_prob_negative,TROFINETIDE
85,ISOTRETINOIN,0.0,518.0,543.0,399453.0,518.0,0.7087416021199074,0.0442130695366924,11.361225624894049,1.4155462091121662,0.0,471.0,543.0,399500.0,471.0,0.7794819914520492,0.0486195601287307,12.496866968547677,1.4156141141931466,518,0,0,5282379.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-XFYACQKRSA-N,True,,1.0,ISOTRETINOIN,0.7022825669015316,2.562102698033028,False,False,False,False,True,negative_expanded,True,True,True,0,0.6,0.48358478773998803,0,-0.040061511858604376,0.5236462995985947,0.48358478773999025,high_prob_negative,ISOTRETINOIN
4,DEXAMETHASONE,35.0,2972.0,508.0,396999.0,3007.0,9.203328838185268,6.521772555636689,12.98746023127812,0.1757240028041588,12.0,998.0,531.0,398973.0,1010.0,9.034407798648145,5.081046339305863,16.063723654884996,0.2936342673258635,3007,35,59,5743.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,True,,2.0,DECADRON | DEXAMETHASONE,4.076763858441902,14.873055623523772,True,False,False,False,False,positive_high,True,True,True,1,1.0,0.8868869635039245,1,0.36324066390532955,0.5236462995985947,0.8868869635039243,high_prob_positive,DEXAMETHASONE
22,DEXAMETHASONE ACETATE,7.0,27.0,536.0,399944.0,34.0,193.44997236042013,83.88111125918633,446.1420604051532,0.4263359612864248,0.0,0.0,0.0,0.0,0.0,,,,,34,7,7,236702.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,AKUJBENLRBOFTD-RPRRAYFGSA-N,True,,1.0,DEXAMETHASONE ACETATE,0.0460957669394827,0.1681689029596968,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.8687106940027657,1,0.34506439440417136,0.5236462995985947,0.868710694002766,high_prob_positive,DEXAMETHASONE ACETATE
2,CEFTRIAXONE,7.0,444.0,536.0,399527.0,451.0,11.75158414011026,5.543189393548275,24.91340634379648,0.3833765377679443,6.0,118.0,537.0,399853.0,124.0,37.86128207556103,16.598566861169303,86.36147279429738,0.4207207402183359,451,7,31,5479530.0,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,VAAUVRVFOQPIGI-SPQHTLEESA-N,True,,1.0,CEFTRIAXONE,0.6114467908737272,2.230711036318331,True,False,False,False,False,positive_high,True,True,True,1,1.0,0.8538642997942378,1,0.3302180001956436,0.5236462995985947,0.8538642997942383,high_prob_positive,CEFTRIAXONE
6,IOPROMIDE,18.0,86.0,525.0,399885.0,104.0,159.42259136212624,95.23716334469604,266.86601893661845,0.2628511463852085,18.0,76.0,525.0,399895.0,94.0,180.40375939849625,107.16140024534148,303.7055911046227,0.265745579179752,104,18,19,3736.0,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,DGAIEPBNLOQYER-UHFFFAOYSA-N,True,,1.0,ULTRAVIST,0.1409988165207708,0.5143989972884844,True,False,False,False,False,positive_high,True,True,True,1,1.0,0.8533066960858063,1,0.32966039648721274,0.5236462995985947,0.8533066960858073,high_prob_positive,IOPROMIDE
17,BUDESONIDE,12.0,692.0,531.0,399279.0,704.0,13.039384735965514,7.322664965569189,23.219081453539424,0.2943877778106584,3.0,233.0,540.0,399738.0,236.0,9.531187410586552,3.0421904948990224,29.861224538057368,0.5826487212011373,704,12,20,5281004.0,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,VOVIALXJUBGFJZ-KWVAZRHASA-N,True,,1.0,BUDESONIDE,0.9544535272175254,3.482085520106663,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.8429792289061191,1,0.3193329293075236,0.5236462995985947,0.8429792289061182,high_prob_positive,BUDESONIDE
100,SPARSENTAN,0.0,605.0,543.0,399366.0,605.0,0.6067753656492881,0.0378594241006914,9.724826858951168,1.4154483240414282,0.0,604.0,543.0,399367.0,604.0,0.6077806515530942,0.0379220766444696,9.740957064812395,1.4154492891238122,605,0,0,10257882.0,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC(=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC5=NOC(=C5C)C)COCC,WRFHGDPIDHPWIQ-UHFFFAOYSA-N,True,,1.0,FILSPARI,0.8202334999525609,2.9924172438416634,False,False,False,False,True,negative_expanded,True,True,True,0,0.6,0.22841525104353058,0,-0.2952310485550638,0.5236462995985947,0.22841525104353083,low_prob_negative,SPARSENTAN
69,IBRUTINIB,0.0,1222.0,543.0,398749.0,1222.0,0.300069420536062,0.0187334799753741,4.806456529123855,1.4151538538805946,0.0,1074.0,543.0,398897.0,1074.0,0.3415272416557968,0.0213200484207928,5.470947086558219,1.4151936612133311,1222,0,0,24821094.0,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,XYFPWWZEPKGCCK-GOSISDBHSA-N,True,,1.0,IMBRUVICA,1.656736094119057,6.04418821813969,False,False,False,True,False,negative_moderate,True,True,True,0,0.8,0.18956044138934858,0,-0.33408585820924674,0.5236462995985947,0.1895604413893479,low_prob_negative,IBRUTINIB
65,ABEMACICLIB,0.0,1058.0,543.0,398913.0,1058.0,0.3467035810773521,0.0216429737598908,5.553921307922258,1.4151986314030127,0.0,902.0,543.0,399069.0,902.0,0.4067914180939687,0.0253910860827676,6.517218574088855,1.4152563250072852,1058,0,0,46220502.0,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N,True,,1.0,VERZENIO,1.4343918065286108,5.233020568569389,False,False,False,True,False,negative_moderate,True,True,True,0,0.8,0.1741365603166937,0,-0.34950973928189955,0.5236462995985947,0.1741365603166951,low_prob_negative,ABEMACICLIB
70,OLANZAPINE,0.0,1373.0,543.0,398598.0,1373.0,0.2669792152616771,0.0166686803840504,4.276157424551972,1.4151220803080136,0.0,650.0,543.0,399321.0,650.0,0.5647364881730634,0.0352392182335837,9.050351201324323,1.4154079658059424,1373,0,0,135398745.0,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,KVWDHTXUZHCGIO-UHFFFAOYSA-N,True,,1.0,OLANZAPINE,1.8614555296444069,6.791055993048932,False,False,False,True,False,negative_moderate,True,True,True,0,0.8,0.11249440155023288,0,-0.41115189804835967,0.5236462995985947,0.11249440155023499,low_prob_negative,OLANZAPINE
60,CLOZAPINE,0.0,3041.0,543.0,396930.0,3041.0,0.1200596592279659,0.0074979227770145,1.9224420152903476,1.414981000181481,0.0,2631.0,543.0,397340.0,2631.0,0.1389088498781918,0.0086747779129538,2.2243415068492234,1.414999100542617,3041,0,0,135398737.0,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,QZUDBNBUXVUHMW-UHFFFAOYSA-N,True,,2.0,CLOZAPINE | CLOZARIL,4.122859625381385,15.04122452648347,False,False,True,False,False,negative_high,True,True,True,0,1.0,0.09860398003164518,0,-0.42504231956694793,0.5236462995985947,0.09860398003164672,low_prob_negative,CLOZAPINE
39,KETAMINE,29.0,391.0,514.0,399580.0,420.0,57.65830405923154,39.15480712556594,84.90605039441233,0.1974546309847172,0.0,39.0,543.0,399932.0,39.0,9.314510963865242,0.5717566797110633,151.7430710906778,1.423783299003431,420,29,40,3821.0,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-UHFFFAOYSA-N,True,,2.0,KETAMINE | KETAMINE HYDROCHLORIDE,0.5694182974877282,2.0773805659727254,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.5762034574094573,1,0.05255715781086283,0.5236462995985947,0.5762034574094574,low_prob_positive,KETAMINE
28,EPHEDRINE,3.0,33.0,540.0,399938.0,36.0,67.32962962962964,20.587130956723733,220.19964975170743,0.6045582816203707,1.0,4.0,542.0,399967.0,5.0,184.48662361623616,20.586005877506206,1653.3228687410565,1.1188599191393227,36,3,5,9294.0,CC(C(C1=CC=CC=C1)O)NC,KWGRBVOPPLSCSI-WPRPVWTQSA-N,True,,1.0,EPHEDRINE,0.0488072826418052,0.1780611913690907,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.5659875605285,1,0.042341260929907025,0.5236462995985947,0.5659875605285016,low_prob_positive,EPHEDRINE
48,NEMTABRUTINIB,4.0,0.0,539.0,399971.0,4.0,6672.369786839667,358.7819934954435,124087.94025192971,1.491334399294467,0.0,0.0,0.0,0.0,0.0,,,,,4,4,4,129045720.0,C1CC(OCC1NC2=NC=NC3=C2C(=CN3)C(=O)C4=C(C=C(C=C4)OC5=CC=CC=C5)Cl)CO,JSFCZQSJQXFJDS-QAPCUYQASA-N,True,,1.0,NEMTABRUTINIB,0.005423031404645,0.0197845768187878,False,True,False,False,False,positive_moderate,True,True,True,1,0.5,0.5525945023470971,1,0.02894820274850187,0.5236462995985947,0.5525945023470965,low_prob_positive,NEMTABRUTINIB
