roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.5208333333333333,0.3752798095841678,0.4880952380952381,0.48387096774193555,0.5,0.4761904761904764,0.31250000000000006,0.3846153846153847,-0.022271770159368615,0.30464595964085184,5.0,7.0,4.0,4.0,0.5,logistic_l2,1,StratifiedGroupKFold,fixed_0.5,86,20,51,8,67,19
0.5208333333333333,0.3752798095841678,0.5,0.6774193548387096,0.0,1.0,0.0,0.0,0.0,0.30464595964085184,12.0,0.0,8.0,0.0,0.9792004382108932,logistic_l2,1,StratifiedGroupKFold,train_youden,86,20,51,8,67,19
0.6727688787185355,0.840734342815445,0.6075514874141876,0.6524822695035462,0.7368421052631579,0.47826086956521746,0.7446808510638299,0.7407407407407408,0.21393127492027914,0.26389039438542916,3.0,4.0,5.0,11.0,0.5,logistic_l2,2,StratifiedGroupKFold,fixed_0.5,83,23,43,16,66,20
0.6727688787185355,0.840734342815445,0.5526315789473684,0.3971631205673759,0.10526315789473684,1.0,1.0,0.19047619047619047,0.19225669194237466,0.26389039438542916,7.0,0.0,15.0,1.0,0.9784365447502462,logistic_l2,2,StratifiedGroupKFold,train_youden,83,23,43,16,66,20
0.45833333333333337,0.40145929339477726,0.6527777777777778,0.625,0.75,0.5555555555555556,0.48387096774193544,0.5882352941176471,0.2945137539309162,0.27561745021472517,3.0,2.0,1.0,2.0,0.5,logistic_l2,3,StratifiedGroupKFold,fixed_0.5,98,8,56,3,78,8
0.45833333333333337,0.40145929339477726,0.5,0.6428571428571428,0.0,1.0,0.0,0.0,0.0,0.27561745021472517,5.0,0.0,3.0,0.0,0.9813251245327639,logistic_l2,3,StratifiedGroupKFold,train_youden,98,8,56,3,78,8
0.4386363636363636,0.43679456794727617,0.42272727272727273,0.4,0.5454545454545454,0.30000000000000004,0.34883720930232565,0.4255319148936171,-0.15791933584228618,0.4067537005695176,3.0,8.0,4.0,5.0,0.5,logistic_l2,4,StratifiedGroupKFold,fixed_0.5,86,20,50,9,67,19
0.4386363636363636,0.43679456794727617,0.5159090909090909,0.5777777777777777,0.18181818181818182,0.8500000000000001,0.45454545454545453,0.2597402597402597,0.042330279424219325,0.4067537005695176,9.0,2.0,8.0,1.0,0.9788629491182838,logistic_l2,4,StratifiedGroupKFold,train_youden,86,20,50,9,67,19
0.7427404718693285,0.8140838374702273,0.6524500907441015,0.6425339366515836,0.6206896551724138,0.6842105263157896,0.7894736842105264,0.694980694980695,0.28980385995048535,0.20025188394571758,8.0,4.0,9.0,14.0,0.5,logistic_l2,5,StratifiedGroupKFold,fixed_0.5,71,35,36,23,66,20
0.7427404718693285,0.8140838374702273,0.5172413793103449,0.3665158371040723,0.034482758620689655,1.0,1.0,0.06666666666666667,0.11014909204187766,0.20025188394571758,12.0,0.0,22.0,1.0,0.9752211932709218,logistic_l2,5,StratifiedGroupKFold,train_youden,71,35,36,23,66,20
