scenario,bit,importance,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs,bitinfo_examples
main_all_labels,1160,0.020191623639920574,0.0,0.19148936867713928,-0.19148936867713928,9,0,9,,RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | IBRUTINIB | ADAPALENE | CANDESARTAN | MACITENTAN | TAFAMIDIS | VENETOCLAX,"RELUGOLIX:((32, 1),) | ABEMACICLIB:((22, 1),) | ALPRAZOLAM:((16, 1),) | IBRUTINIB:((19, 1),) | ADAPALENE:((5, 1), (8, 1)) | CANDESARTAN:((16, 1),) | MACITENTAN:((25, 1),) | TAFAMIDIS:((12, 1),) | VENETOCLAX:((7, 1),)"
main_all_labels,378,0.017914198362859908,0.2542372941970825,0.5106382966041565,-0.256401002407074,39,15,24,CEFTRIAXONE | ONDANSETRON | APREPITANT | BENDAMUSTINE | BORTEZOMIB | CEFAZOLIN | CYTARABINE | DEXCHLORPHENIRAMINE | ENCORAFENIB | FAMOTIDINE | FLUDARABINE | LEVOLEUCOVORIN | MIDAZOLAM | NEMTABRUTINIB | ZOLEDRONIC ACID,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | AMBRISENTAN | AZACITIDINE | CANDESARTAN | FLUCONAZOLE | LETROZOLE | LORAZEPAM | MACITENTAN | MIRTAZAPINE | OSIMERTINIB | RIOCIGUAT,"CEFTRIAXONE:((3, 0), (29, 0)) | ONDANSETRON:((2, 0),) | APREPITANT:((25, 0),) | BENDAMUSTINE:((15, 0),) | BORTEZOMIB:((21, 0), (24, 0)) | CEFAZOLIN:((2, 0), (3, 0), (21, 0)) | CYTARABINE:((5, 0),) | DEXCHLORPHENIRAMINE:((18, 0),) | ENCORAFENIB:((7, 0), (22, 0), (24, 0)) | FAMOTIDINE:((2, 0),)"
main_all_labels,1452,0.01605413272063381,0.11864406615495682,0.3404255211353302,-0.22178146243095398,23,7,16,ONDANSETRON | BORTEZOMIB | DEXCHLORPHENIRAMINE | ENCORAFENIB | FLUDARABINE | MIDAZOLAM | NEMTABRUTINIB,CABOZANTINIB | PALBOCICLIB | PIMAVANSERIN | ABEMACICLIB | APREMILAST | AZATHIOPRINE | IBRUTINIB | TREPROSTINIL | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | MACITENTAN | MIRTAZAPINE | OSIMERTINIB | RIOCIGUAT | VENETOCLAX,"ONDANSETRON:((2, 1),) | BORTEZOMIB:((21, 1),) | DEXCHLORPHENIRAMINE:((18, 1),) | ENCORAFENIB:((24, 1),) | FLUDARABINE:((1, 1),) | MIDAZOLAM:((2, 1),) | NEMTABRUTINIB:((8, 1), (10, 1)) | CABOZANTINIB:((8, 1),) | PALBOCICLIB:((9, 1), (14, 1)) | PIMAVANSERIN:((4, 1),)"
main_all_labels,875,0.015459779133863713,0.18644067645072937,0.42553192377090454,-0.23909124732017517,31,11,20,ALBUTEROL | APREPITANT | BENDAMUSTINE | ENCORAFENIB | ETOPOSIDE | LABETALOL | MIDAZOLAM | NAPROXEN | NEMTABRUTINIB | VINBLASTINE | VINCRISTINE,CABOZANTINIB | CLOZAPINE | ABEMACICLIB | ALPRAZOLAM | APREMILAST | OLANZAPINE | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | FENFLURAMINE | FLUCONAZOLE | HYDROCHLOROTHIAZIDE | LORAZEPAM | MESALAMINE | NINTEDANIB | OSIMERTINIB | RISPERIDONE | SPARSENTAN | TAFAMIDIS | VENETOCLAX,"ALBUTEROL:((8, 1),) | APREPITANT:((3, 1), (5, 1), (7, 1)) | BENDAMUSTINE:((4, 1),) | ENCORAFENIB:((11, 1), (13, 1)) | ETOPOSIDE:((21, 1), (24, 1), (30, 1)) | LABETALOL:((14, 1),) | MIDAZOLAM:((8, 1),) | NAPROXEN:((3, 1), (8, 1)) | NEMTABRUTINIB:((20, 1),) | VINBLASTINE:((23, 1), (26, 1))"
main_all_labels,352,0.011799789697146559,0.06779661029577255,0.23404255509376526,-0.1662459373474121,15,4,11,PACLITAXEL | DOXORUBICIN | ENCORAFENIB | MIDAZOLAM,CLOZAPINE | POMALIDOMIDE | ALPRAZOLAM | APREMILAST | OLANZAPINE | QUETIAPINE | CANDESARTAN | COCAINE | LORAZEPAM | OSIMERTINIB | SPARSENTAN,"PACLITAXEL:((42, 2),) | DOXORUBICIN:((21, 1),) | ENCORAFENIB:((5, 1), (8, 1)) | MIDAZOLAM:((7, 1), (16, 1)) | CLOZAPINE:((22, 1),) | POMALIDOMIDE:((11, 1),) | ALPRAZOLAM:((7, 1),) | APREMILAST:((18, 1),) | OLANZAPINE:((3, 1),) | QUETIAPINE:((26, 1),)"
main_all_labels,80,0.011595586537571667,0.7627118825912476,0.5319148898124695,0.23079699277877808,70,45,25,CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | ONDANSETRON | ROCURONIUM | ALBUTEROL | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYCLOPHOSPHAMIDE | CYTARABINE | DEXAMETHASONE ACETATE | DEXCHLORPHENIRAMINE,PIMAVANSERIN | RELUGOLIX | ABEMACICLIB | APREMILAST | QUETIAPINE | TREPROSTINIL | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CHOLECALCIFEROL | FENFLURAMINE | FLUCONAZOLE | LACOSAMIDE | LEVONORGESTREL | LISDEXAMFETAMINE | MACITENTAN | METHAMPHETAMINE | NINTEDANIB | OSIMERTINIB | RIOCIGUAT,"CEFTRIAXONE:((10, 0),) | CEFUROXIME:((21, 0),) | DEXAMETHASONE:((21, 0),) | DICLOFENAC:((6, 0),) | IOPROMIDE:((2, 0), (4, 0), (19, 0)) | LIDOCAINE:((1, 0), (3, 0), (5, 0)) | ONDANSETRON:((6, 0),) | ROCURONIUM:((35, 0),) | ALBUTEROL:((5, 0), (14, 0)) | APREPITANT:((23, 0),)"
main_all_labels,207,0.010834141784466327,0.0,0.12765957415103912,-0.12765957415103912,6,0,6,,CLOZAPINE | PIMAVANSERIN | OLANZAPINE | HYDROCHLOROTHIAZIDE | MIRTAZAPINE | NINTEDANIB,"CLOZAPINE:((1, 1),) | PIMAVANSERIN:((27, 1),) | OLANZAPINE:((18, 1),) | HYDROCHLOROTHIAZIDE:((8, 0),) | MIRTAZAPINE:((1, 1),) | NINTEDANIB:((1, 1),)"
main_all_labels,1750,0.010309352872455489,0.5932203531265259,0.8085106611251831,-0.21529030799865723,73,35,38,ACETAMINOPHEN | AMOXICILLIN | CEFUROXIME | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | ALBUTEROL | APREPITANT | BENDAMUSTINE | BORTEZOMIB | CHLORHEXIDINE GLUCONATE | CYTARABINE | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB | EPHEDRINE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | CANDESARTAN | CLOPIDOGREL | COCAINE | FENFLURAMINE,"ACETAMINOPHEN:((5, 1), (6, 1), (8, 1)) | AMOXICILLIN:((14, 1), (15, 1), (17, 1)) | CEFUROXIME:((5, 1),) | DICLOFENAC:((2, 1), (13, 1), (15, 1)) | LIDOCAINE:((11, 1), (13, 1)) | ONDANSETRON:((15, 1), (18, 1)) | PACLITAXEL:((25, 1), (34, 1), (45, 1)) | PROPOFOL:((6, 1), (8, 1)) | ALBUTEROL:((11, 1), (12, 1)) | APREPITANT:((31, 1), (32, 1), (34, 1))"
main_all_labels,322,0.01019101959939201,0.033898305147886276,0.1702127605676651,-0.13631445169448853,10,2,8,NAPROXEN | NEMTABRUTINIB,CABOZANTINIB | PIMAVANSERIN | IBRUTINIB | ADAPALENE | ARIPIPRAZOLE | ERGOCALCIFEROL | VENETOCLAX | VENLAFAXINE,"NAPROXEN:((9, 1), (5, 2), (4, 2)) | NEMTABRUTINIB:((21, 1), (25, 1)) | CABOZANTINIB:((15, 1),) | PIMAVANSERIN:((5, 1),) | IBRUTINIB:((22, 1), (26, 1)) | ADAPALENE:((11, 2), (10, 2)) | ARIPIPRAZOLE:((9, 1),) | ERGOCALCIFEROL:((1, 2),) | VENETOCLAX:((51, 1),) | VENLAFAXINE:((8, 1),)"
main_all_labels,935,0.009533363672805177,0.4067796468734741,0.5744680762290955,-0.16768842935562134,51,24,27,AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | ONDANSETRON | ROCURONIUM | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | CEFAZOLIN | CYTARABINE | DROPERIDOL | ENCORAFENIB | FLUDARABINE | HYDROMORPHONE | IFOSFAMIDE | LEVOLEUCOVORIN | METAMIZOLE | MIDAZOLAM | MORPHINE | REMIFENTANIL,CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CLOPIDOGREL | COCAINE | FLUCONAZOLE | LETROZOLE | MIRTAZAPINE,"AMOXICILLIN:((3, 0),) | CEFTRIAXONE:((1, 0), (13, 0)) | CEFUROXIME:((14, 0),) | ONDANSETRON:((5, 0), (20, 0)) | ROCURONIUM:((22, 0),) | APREPITANT:((19, 0),) | AZITHROMYCIN:((6, 0),) | BENDAMUSTINE:((1, 0),) | CEFAZOLIN:((10, 0), (19, 0)) | CYTARABINE:((2, 0),)"
