scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_antihistamines_all,random,fixed_0.5,roc_auc,100,0.7481516204956083,0.08999472201837219,0.7444852941176471,0.5680041315747656,0.918808275058275
exclude_antihistamines_all,random,fixed_0.5,pr_auc,100,0.783802159908738,0.08266605422682761,0.7891824487006179,0.6225350144173467,0.9454250272391527
exclude_antihistamines_all,random,fixed_0.5,balanced_accuracy,100,0.6718948953967039,0.08050121063912154,0.6666666666666667,0.5287993928114896,0.8336177884615383
exclude_antihistamines_all,random,fixed_0.5,accuracy,100,0.674014588194668,0.08222835704126526,0.6665723108594956,0.5285493054686523,0.8327290076335878
exclude_antihistamines_all,random,fixed_0.5,sensitivity,100,0.7779147102897103,0.1285688223338559,0.7857142857142857,0.5094951923076924,1.0
exclude_antihistamines_all,random,fixed_0.5,specificity,100,0.5658750805036977,0.16599676110011857,0.5645833333333334,0.22999526515151522,0.8966071428571428
exclude_antihistamines_all,random,fixed_0.5,precision,100,0.662397792284232,0.09292075305986981,0.6521739130434784,0.5159914712153519,0.8687230989956957
exclude_antihistamines_all,random,fixed_0.5,f1,100,0.7068723911772686,0.0800083944666422,0.7091694183388367,0.5426709296606002,0.85625
exclude_antihistamines_all,random,fixed_0.5,mcc,100,0.3625327593514588,0.1654019771635499,0.3518437235587788,0.06857475537570523,0.6689133521610752
exclude_antihistamines_all,random,fixed_0.5,brier,100,0.2162356239672899,0.01640175254901736,0.21698967728284668,0.1878341640533413,0.2552860739049999
exclude_antihistamines_all,random,train_youden,roc_auc,100,0.7481516204956083,0.08999472201837219,0.7444852941176471,0.5680041315747656,0.918808275058275
exclude_antihistamines_all,random,train_youden,pr_auc,100,0.783802159908738,0.08266605422682761,0.7891824487006179,0.6225350144173467,0.9454250272391527
exclude_antihistamines_all,random,train_youden,balanced_accuracy,100,0.6958901696911991,0.08423838292736671,0.6932503770739065,0.5373697916666667,0.8519279233870966
exclude_antihistamines_all,random,train_youden,accuracy,100,0.6959830803699794,0.08409307502833469,0.6996000499937509,0.5309069571497351,0.8550815523059615
exclude_antihistamines_all,random,train_youden,sensitivity,100,0.6851652514152513,0.15059083307269308,0.6875,0.4079166666666667,0.9259615384615385
exclude_antihistamines_all,random,train_youden,specificity,100,0.7066150879671466,0.1581652325057268,0.7096774193548389,0.3551724137931035,0.9130882352941176
exclude_antihistamines_all,random,train_youden,precision,100,0.7234008782819714,0.10526294312721446,0.7142857142857144,0.5159914712153519,0.8974677985948477
exclude_antihistamines_all,random,train_youden,f1,100,0.6916846816584471,0.10185539076670116,0.7086614173228347,0.48036538461538464,0.8703478417590339
exclude_antihistamines_all,random,train_youden,mcc,100,0.4032539554561974,0.16746517265189106,0.4105771244814128,0.08004745551502637,0.7100393270944847
exclude_antihistamines_all,random,train_youden,brier,100,0.2162356239672899,0.01640175254901736,0.21698967728284668,0.1878341640533413,0.2552860739049999
exclude_antihistamines_all,scaffold,fixed_0.5,roc_auc,100,0.7134215451555029,0.1424560051431099,0.7306931818181819,0.39077519379844966,0.9313041125541126
exclude_antihistamines_all,scaffold,fixed_0.5,pr_auc,100,0.7375755938967206,0.1679604806454631,0.7473094943826791,0.28173287215328296,0.9622063726782956
